r,s2,s3,s4,s5
1.072699252,0.941780627,0.209056734,7.377415644,2.231810186
1.228668119,2.23468417,0.865756758,4.546456456,6.234345387
1.407314627,2.523655297,1.02714079,1.553284327,2792.945324
1.611936069,2.123786238,2.564397938,2.768590893,68.12387989
1.846309163,1.093771534,4.980862545,13.10168038,10.43910307
2.114759754,1.774254222,7.386213616,38.0483199,5855.394749
2.42224266,2.071225049,21.50930668,51.26187328,974.4696425
2.77443312,2.607846351,29.21374439,243.8059139,116.4229127
3.177831547,5.247568276,23.22579885,1086.437091,2540.860131
3.639883502,6.927983223,84.31494441,2379.600119,5123.091363
4.16911712,9.289924655,96.29329068,5466.398341,10802.24617
4.775300514,14.11505545,81.14383242,2946.752567,20081.22718
5.469622068,10.30547964,95.45896592,3949.328113,100748.4859
6.264896937,15.58902495,178.6757563,11758.66693,67429.39559
7.175803583,17.29145836,395.5159909,6912.340684,601074.7823
8.219154693,16.82698019,257.2716774,10402.93691,351636.8964
9.414207494,20.71174996,377.1907057,10110.42906,394670.844
10.78301919,24.35188469,325.2658118,6974.283014,375454.4941
12.35085405,24.9768678,297.2239297,12890.90318,264314.9236
14.14664976,30.46343357,340.9595305,8407.90382,802665.4731
16.20355148,30.75817726,414.0409966,12793.60948,899425.6779
18.55952363,32.29790481,508.3799628,8294.365227,411596.5792
21.25805062,35.36616912,556.0597181,17086.66892,431513.156
24.34893939,35.9121363,495.0772617,11805.26643,474512.3214
27.88923876,36.98450751,505.8090106,11516.20348,564744.3736
31.94429237,37.35478684,553.3371121,15222.43866,2921107.812
36.58894471,37.63067629,532.1777005,15836.57118,1026423.411
41.90892255,37.62274323,526.5492431,15530.60158,581589.1248
48.00241722,37.5674931,515.5843618,84833.37581,2011551.76
54.9818969,37.59320043,532.5217604,33201.74716,626205.8901
62.97618249,37.42724128,528.7647117,14271.5203,2394129.22
72.13282525,37.51105776,539.5000509,22170.32961,1897521.237
82.62083017,37.48228521,566.1326741,16777.36317,847250.1486
94.63377533,37.48503515,539.208418,16421.44981,2316111.54
108.3933847,37.47867589,572.6723545,19684.55087,1698394.049
124.1536208,37.50352651,541.6088463,40314.47906,8350058.452
142.2053716,37.50896141,539.1154894,21475.70584,2430510.118
162.88182,37.58192734,530.3956818,20893.51583,3115009.031
186.564593,37.55893202,543.4486389,19679.7271,2277362.099
213.6908058,37.54256073,539.8316368,17750.62008,5365360.233
244.7611294,37.54163609,533.6335749,24027.9441,7968775.367
280.3490316,37.55130402,548.3848241,21416.08292,10223244.93
321.1113616,37.59531432,542.5704951,21897.09952,5828256.103
367.8004734,37.62740436,550.1253484,25304.36315,4493892.342
421.2781122,37.7064512,546.5583641,23515.27315,3373008.966
482.5313197,37.85049394,550.0202201,22472.00633,7235851.27
552.690652,37.92453078,554.2361803,26078.92934,4554112.508
633.0510463,38.11575349,546.0485106,21134.39484,6080512.108
725.0957218,38.83459124,568.1193639,15758.07351,9841049.432
830.5235554,41.67762156,598.8570148,21733.6556,900827.4367
