vor,pdf
-24.492594397241405,4.577117470738068e-12
-24.163376263860304,0.0
-23.834158130479203,0.0
-23.5049399970981,0.0
-23.175721863717,0.0
-22.8465037303359,0.0
-22.5172855969548,0.0
-22.1880674635737,0.0
-21.858849330192594,4.577117470738068e-12
-21.529631196811494,0.0
-21.200413063430393,0.0
-20.871194930049295,4.577117470738068e-12
-20.541976796668195,0.0
-20.21275866328709,0.0
-19.88354052990599,0.0
-19.554322396524892,0.0
-19.22510426314379,0.0
-18.895886129762687,0.0
-18.566667996381586,4.577117470738068e-12
-18.237449863000485,0.0
-17.908231729619384,0.0
-17.579013596238287,4.577117470738068e-12
-17.249795462857183,0.0
-16.92057732947608,0.0
-16.59135919609498,0.0
-16.26214106271388,0.0
-15.93292292933278,0.0
-15.603704795951678,4.577117470738068e-12
-15.274486662570576,4.577117470738068e-12
-14.945268529189475,4.577117470738068e-12
-14.616050395808374,1.3731352412214203e-11
-14.286832262427273,0.0
-13.957614129046172,4.577117470738068e-12
-13.628395995665072,0.0
-13.299177862283969,0.0
-12.96995972890287,0.0
-12.640741595521767,4.577117470738068e-12
-12.311523462140666,2.7462704824428407e-11
-11.982305328759567,0.0
-11.653087195378465,4.577117470738068e-12
-11.323869061997364,9.154234941476136e-12
-10.994650928616261,1.830846988295227e-11
-10.665432795235162,0.0
-10.336214661854061,2.288558735369034e-11
-10.006996528472959,2.288558735369034e-11
-9.677778395091858,2.288558735369034e-11
-9.348560261710755,2.7462704824428407e-11
-9.019342128329656,6.407964459033296e-11
-8.690123994948554,3.203982229516648e-11
-8.360905861567453,6.407964459033296e-11
-8.031687728186354,1.1442793676845169e-10
-7.702469594805251,1.1442793676845169e-10
-7.37325146142415,1.876618163002608e-10
-7.0440333280430485,2.1512452112468917e-10
-6.714815194661948,3.295524578931409e-10
-6.385597061280848,4.256719247786403e-10
-6.056378927899745,6.133337410789011e-10
-5.727160794518645,7.872642049669477e-10
-5.3979426611375425,1.0344285483868033e-09
-5.0687245277564426,1.3777123586921583e-09
-4.739506394375342,1.8491554581781795e-09
-4.410288260994242,2.4899519040815088e-09
-4.081070127613137,3.391644045816908e-09
-3.7518519942320365,4.847167401511614e-09
-3.4226338608509366,6.147068763201225e-09
-3.093415727469836,8.572941022692401e-09
-2.764197594088736,1.2902894150010613e-08
-2.4349794607076314,1.9503097542814907e-08
-2.1057613273265314,3.082230904795015e-08
-1.776543193945431,5.3451577823279154e-08
-1.4473250605643309,9.790911981655801e-08
-1.118106927183231,2.1831477200179362e-07
-0.7888887938021263,6.382652999420114e-07
-0.45967066042102606,3.566503664551515e-06
-0.13045252703992583,0.0016901345425104897
0.19876560634117438,0.00014510099516991601
0.5279837397222745,2.2287678498487824e-06
0.8572018731033791,4.748713604716038e-07
1.1864200064844794,1.7306081156860635e-07
1.5156381398655796,8.099667076218085e-08
1.84485627324668,4.443007928845443e-08
2.17407440662778,2.613534075791437e-08
2.503292540008885,1.6541702539247377e-08
2.8325106733899847,1.094388787253472e-08
3.161728806771085,7.639209058661834e-09
3.490946940152185,5.725973955893323e-09
3.8201650735332855,3.876818497715143e-09
4.14938320691439,3.1124398801018863e-09
4.478601340295491,2.2199019733079627e-09
4.807819473676591,1.7164190515267755e-09
5.13703760705769,1.1580107200967312e-09
5.466255740438791,9.42886198972042e-10
5.795473873819895,7.140303254351385e-10
6.124692007200995,4.851744518982352e-10
6.453910140582096,3.661693976590454e-10
6.783128273963196,2.654728133028079e-10
7.1123464073443,1.9223893377099884e-10
7.4415645407254,1.6019911147583237e-10
7.770782674106501,1.006965843562375e-10
8.1000008074876,7.323387953180908e-11
8.4292189408687,5.950252711959488e-11
8.758437074249805,2.7462704824428407e-11
9.087655207630906,3.203982229516648e-11
9.416873341012005,1.830846988295227e-11
9.746091474393106,3.661693976590454e-11
10.075309607774207,1.3731352412214203e-11
10.404527741155311,9.154234941476136e-12
10.733745874536412,1.3731352412214203e-11
11.062964007917511,1.3731352412214203e-11
11.392182141298612,9.154234941476136e-12
11.721400274679711,0.0
12.050618408060817,1.3731352412214203e-11
12.379836541441916,4.577117470738068e-12
12.709054674823017,0.0
13.038272808204116,9.154234941476136e-12
13.367490941585217,4.577117470738068e-12
13.696709074966321,9.154234941476136e-12
14.025927208347422,4.577117470738068e-12
14.355145341728523,9.154234941476136e-12
14.684363475109622,4.577117470738068e-12
15.013581608490723,0.0
15.342799741871827,0.0
15.672017875252923,9.154234941476136e-12
16.001236008634027,9.154234941476136e-12
16.33045414201513,0.0
16.65967227539623,9.154234941476136e-12
16.988890408777333,4.577117470738068e-12
17.318108542158427,0.0
17.64732667553953,4.577117470738068e-12
17.976544808920636,0.0
18.305762942301733,0.0
18.634981075682838,4.577117470738068e-12
18.964199209063935,0.0
19.29341734244504,0.0
19.622635475826144,0.0
19.95185360920724,0.0
20.281071742588345,0.0
20.610289875969443,0.0
20.939508009350547,0.0
21.26872614273165,0.0
21.597944276112745,4.577117470738068e-12
21.92716240949385,0.0
22.256380542874947,0.0
22.58559867625605,0.0
22.914816809637156,0.0
23.244034943018253,0.0
23.573253076399357,0.0
23.90247120978045,0.0
24.231689343161555,0.0
24.56090747654266,4.577117470738068e-12
